"index","recommendation"
10,10.0
10,9.0
10,9.0
11,10.0
8,7.0
12,10.0
7,3.0
10,5.0
11,8.0
9,8.0
1,1.0
6,7.0
-1,1.0
12,10.0
7,1.0
12,8.0
5,6.0
2,1.0
12,10.0
12,10.0
12,10.0
5,8.0
10,7.0
10,10.0
6,8.0
12,10.0
7,7.0
11,10.0
12,10.0
0,1.0
10,9.0
-1,1.0
12,10.0
12,10.0
5,1.0
12,10.0
10,10.0
11,10.0
0,1.0
12,8.0
0,1.0
-2,1.0
12,10.0
6,10.0
12,10.0
10,9.0
6,9.0
-3,1.0
11,10.0
-2,4.0
9,8.0
11,8.0
10,10.0
12,10.0
12,10.0
12,10.0
11,10.0
12,10.0
4,4.0
4,1.0
11,10.0
8,2.0
4,1.0
11,10.0
11,10.0
12,10.0
11,10.0
11,10.0
4,6.0
10,8.0
-4,1.0
8,1.0
11,9.0
-3,1.0
12,9.0
12,10.0
10,7.0
12,8.0
10,6.0
12,10.0
12,10.0
8,7.0
2,1.0
12,"0"
10,7.0
12,10.0
4,6.0
5,1.0
12,10.0
12,10.0
12,10.0
12,10.0
1,1.0
12,0.0
12,10.0
4,3.0
12,9.0
12,10.0
10,10.0
12,10.0
9,7.0
4,4.0
11,9.0
10,"0"
9,8.0
11,10.0
12,9.0
12,10.0
11,10.0
10,8.0
9,7.0
12,8.0
12,10.0
12,10.0
12,8.0
-4,1.0
12,4.0
11,9.0
12,10.0
6,5.0
9,5.0
11,9.0
11,10.0
8,10.0
11,9.0
11,10.0
11,10.0
9,4.0
4,6.0
12,10.0
6,"0"
6,8.0
7,7.0
11,10.0
11,9.0
12,10.0
4,5.0
1,4.0
11,5.0
12,5.0
11,9.0
10,8.0
12,4.0
12,10.0
6,1.0
11,7.0
12,10.0
7,4.0
12,10.0
10,8.0
12,9.0
11,8.0
7,5.0
10,5.0
10,2.0
11,7.0
11,9.0
10,8.0
12,9.0
11,10.0
2,5.0
10,7.0
12,10.0
10,9.0
11,10.0
10,9.0
6,9.0
12,4.0
1,1.0
5,1.0
12,10.0
11,9.0
-1,6.0
6,6.0
12,10.0
-2,1.0
